  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2,3,0,0,10,0,1,1,0,0,2,0,0,11,2,1,10,2,9,0,0,3,1,0,1
3,5,0,0,22,0,2,3,0,0,5,0,0,13,2,1,18,4,3,0,0,4,2,0,2
4,9,1,0,33,0,4,6,1,0,9,1,0,24,4,2,33,7,1,0,0,5,3,0,2
5,11,1,0,49,0,2,10,1,0,14,1,1,35,5,1,44,9,1,0,0,5,4,0,3
6,19,4,1,63,0,2,15,4,1,20,2,1,43,6,2,60,12,1,0,0,6,5,0,3
7,25,6,1,80,0,3,21,6,1,27,2,1,61,9,2,68,13,1,0,0,7,6,0,3
8,27,6,1,92,0,4,28,6,1,35,2,1,71,10,2,95,19,1,0,0,7,7,0,3
9,29,6,1,108,0,4,36,6,3,44,2,2,93,13,3,115,23,1,0,0,7,8,0,3
10,33,7,1,125,0,4,45,7,1,54,3,1,106,15,3,139,28,1,0,0,6,9,0,4
11,37,8,1,142,0,4,55,8,2,65,4,2,116,15,3,155,31,1,0,0,8,10,0,3
12,39,8,1,157,0,4,66,8,2,77,4,2,132,17,3,183,37,1,0,0,8,11,0,3
13,41,8,1,174,0,5,78,8,2,90,4,2,142,19,4,203,41,2,0,0,9,12,0,4
14,43,8,1,188,0,6,91,8,3,104,4,2,148,19,4,223,45,2,0,0,9,13,0,3
15,45,8,1,203,0,6,105,8,3,119,4,3,160,21,7,246,50,74,0,0,11,14,0,4
16,47,8,1,215,0,12,120,8,3,135,4,3,167,21,4,276,56,2,0,0,10,15,0,3
17,49,8,1,235,0,5,136,8,3,152,4,3,192,24,4,304,62,2,0,0,10,16,0,5
18,51,8,1,254,0,5,153,8,4,170,4,4,198,24,4,333,68,2,0,0,11,17,0,4
19,55,9,1,273,0,6,171,9,4,189,5,4,214,26,4,352,71,2,0,0,10,18,0,4
20,57,9,1,291,0,6,190,9,5,209,5,4,220,26,6,394,81,2,0,0,12,19,0,5
21,59,9,1,308,0,6,210,9,5,230,5,5,250,30,5,416,85,3,0,0,12,20,0,61
22,61,9,2,325,0,17,231,9,6,252,5,5,268,32,6,438,89,3,0,0,15,21,0,6
23,63,9,1,344,0,7,253,9,7,275,5,6,266,30,7,460,93,3,0,0,15,22,0,6
24,65,9,1,359,0,7,276,9,6,299,5,6,282,32,19,490,99,3,0,0,15,23,0,6
25,67,9,1,378,0,8,300,9,7,324,5,7,292,32,7,517,105,4,0,0,16,24,0,6
26,69,9,1,395,0,67,325,9,8,350,5,7,310,35,6,542,109,3,0,0,16,25,0,6
27,71,9,1,413,0,9,351,9,8,377,5,7,323,37,6,568,115,3,0,0,16,26,0,8
28,75,10,1,429,0,8,378,10,9,405,6,7,340,39,6,601,122,3,0,0,16,27,0,6
29,79,11,1,447,0,21,406,11,15,434,7,13,346,38,9,626,127,6,0,0,27,28,0,9
30,81,11,2,464,0,5,435,11,15,464,7,13,371,41,251,655,133,5,0,0,14,29,0,8
31,83,11,2,479,0,6,465,11,16,495,7,14,373,41,10,677,137,7,0,0,18,30,0,8
32,85,11,2,492,0,4,496,11,12,527,7,10,394,44,16,709,144,5,0,0,17,31,0,7
33,87,11,2,514,0,4,528,11,12,560,7,11,410,45,3,745,152,5,0,0,15,32,0,7
34,89,11,1,536,0,3,561,11,13,594,7,11,416,45,2,782,159,5,0,0,13,33,0,7
35,93,12,2,561,0,3,595,12,13,629,8,12,444,48,2,809,164,5,0,0,58,34,0,8
36,97,13,2,583,0,3,630,13,15,665,9,12,462,49,2,847,172,5,0,0,11,35,0,8
