    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0
2,3,0,2,10,0,4,1,0,1,2,0,4,11,2,12,10,2,0,0,0,1,1,0,4
3,5,0,0,22,0,4,3,0,0,5,0,0,13,2,2,18,4,0,0,0,1,2,0,3
4,12,3,2,35,0,9,6,3,2,9,3,2,24,4,10,27,5,1,0,0,2,3,0,4
5,16,4,0,50,0,4,10,4,0,14,4,0,39,6,3,40,8,1,0,0,2,4,0,4
6,27,9,0,64,0,1,15,9,0,20,3,0,65,9,1,64,13,1,0,0,2,5,0,5
7,40,15,0,81,0,1,21,15,0,27,5,0,71,11,13,75,15,1,0,0,2,6,0,5
8,54,21,0,96,0,1,28,21,0,35,5,0,92,14,1,88,17,1,0,0,3,7,0,6
9,60,23,1,113,0,2,36,23,0,44,7,0,107,15,1,106,21,1,0,0,5,8,0,9
10,74,29,1,131,0,2,45,29,1,54,9,1,118,16,1,135,27,3,0,0,5,9,0,9
11,76,29,0,148,0,2,55,29,0,65,9,0,140,20,1,161,33,1,0,0,3,10,0,6
12,96,38,0,165,0,1,66,38,0,77,6,0,155,22,1,173,34,2,0,0,3,11,0,7
13,104,41,0,187,0,2,78,41,0,90,7,1,163,19,1,194,39,1,0,0,3,12,0,9
14,116,46,0,206,0,1,91,46,1,104,10,0,195,20,1,210,42,4,0,0,7,13,0,4
15,124,49,1,226,0,4,105,49,1,119,11,1,214,26,2,224,45,3,0,0,4,14,0,2
16,142,57,1,245,0,2,120,57,1,135,11,1,208,24,1,263,53,2,0,0,4,15,0,2
17,148,59,0,262,0,1,136,59,1,152,13,1,246,32,1,291,59,2,0,0,4,16,0,2
18,178,73,0,285,0,1,153,73,1,170,15,1,246,32,1,313,63,2,0,0,4,17,0,2
19,198,82,1,307,0,1,171,82,1,189,16,1,267,34,1,328,66,2,0,0,4,18,0,1
20,206,85,0,327,0,1,190,85,1,209,17,1,302,38,1,360,73,2,0,0,4,19,0,1
21,228,95,1,346,0,1,210,95,1,230,17,1,339,39,1,374,75,2,0,0,4,20,0,57
22,230,95,1,364,0,2,231,95,1,252,17,1,348,40,1,417,85,3,0,0,5,21,0,2
23,236,97,1,382,0,1,253,97,1,275,19,1,370,42,1,433,87,2,0,0,5,22,0,2
24,256,106,1,402,0,1,276,106,2,299,22,1,406,47,1,466,94,2,0,0,5,23,0,2
25,298,126,1,431,0,1,300,126,2,324,20,2,390,43,1,493,100,2,0,0,5,24,0,3
26,322,137,1,452,0,1,325,137,2,350,21,2,423,45,1,522,105,4,0,0,7,25,0,2
27,356,153,2,473,0,3,351,153,3,377,25,2,450,52,3,548,111,3,0,0,6,26,0,2
28,368,158,1,497,0,2,378,158,3,405,24,2,502,55,2,581,118,3,0,0,5,27,0,2
29,382,164,1,522,0,2,406,164,2,434,26,2,485,56,2,593,120,3,0,0,5,28,0,2
30,426,185,1,535,0,2,435,185,3,464,25,2,510,60,2,618,125,3,0,0,6,29,0,2
31,487,215,4,560,0,6,465,215,5,495,29,5,552,58,4,639,129,7,0,0,14,30,0,4
32,541,241,2,581,0,3,496,241,6,527,31,5,543,63,10,671,135,14,0,0,15,31,0,5
