   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
   0,             0,               0,              0,         1,           0,          4,          0,            0,           0,             0,               0,              0,         1,           0,          0,        0,          0,         0,          0,            0,           0,         0,           0,          0
   1,             1,               0,              3,         1,           0,          2,          0,            0,           0,             0,               0,              0,         1,           0,          0,        0,          0,         0,          0,            0,           4,         0,           0,          0
   2,             3,               0,              2,        10,           0,          9,          1,            0,           2,             2,               0,              3,        11,           2,          0,       10,          2,         8,          0,            0,           2,         1,           0,          3
   3,             7,               1,              1,        23,           0,          4,          3,            1,           1,             5,               1,              1,        22,           4,          1,       15,          3,         3,          0,            0,           6,         2,           0,          3
   4,             9,               1,              0,        34,           0,          1,          6,            1,           0,             9,               1,              0,        31,           5,          0,       34,          7,         5,          0,            0,           4,         3,           0,          4
   5,            17,               4,              0,        51,           0,          1,         10,            4,           0,            14,               2,              0,        42,           7,          0,       48,         10,         4,          0,            0,           6,         4,           0,          5
   6,            23,               6,              0,        67,           0,          1,         15,            6,           0,            20,               2,              0,        53,           8,          1,       61,         12,         1,          0,            0,           4,         5,           0,          4
   7,            33,              10,              0,        79,           0,          1,         21,           10,           0,            27,               4,              0,        71,          10,          1,       70,         14,         1,          0,            0,           5,         6,           0,          4
   8,            41,              13,              0,        94,           0,          1,         28,           13,           0,            35,               5,              0,        81,          11,          1,       96,         19,         5,          0,            0,           8,         7,           0,         26
   9,            53,              18,              0,       116,           0,          1,         36,           18,           0,            44,               6,              0,       101,          14,          1,      119,         24,         1,          0,            0,           5,         8,           0,          4
  10,            57,              19,              0,       135,           0,          1,         45,           19,           0,            54,               7,              0,       116,          16,          1,      143,         29,         1,          0,            0,           3,         9,           0,          4
  11,            61,              20,              0,       151,           0,          1,         55,           20,           0,            65,               8,              0,       131,          18,          0,      159,         32,         1,          0,            0,           4,        10,           0,          4
  12,            67,              22,              0,       168,           0,          1,         66,           22,           0,            77,               8,              0,       132,          17,          1,      189,         38,         2,          0,            0,           6,        11,           0,          6
  13,            69,              22,              0,       182,           0,          2,         78,           22,           0,            90,               8,              1,       162,          21,          1,      209,         42,         1,          0,            0,           6,        12,           0,          6
  14,            85,              29,              0,       200,           0,          2,         91,           29,           1,           104,               9,              1,       199,          23,          2,      225,         45,         2,          0,            0,           8,        13,           0,          6
  15,           103,              37,              0,       219,           0,          1,        105,           37,           1,           119,              11,              1,       192,          26,          1,      241,         49,         2,          0,            0,           6,        14,           0,          5
  16,           125,              47,              1,       238,           0,          2,        120,           47,           1,           135,              13,              1,       194,          24,          1,      265,         53,         2,          0,            0,           7,        15,           0,          6
  17,           157,              62,              0,       259,           0,          2,        136,           62,           1,           152,              12,              1,       228,          27,          1,      279,         56,         1,          0,            0,         153,        16,           0,          8
  18,           183,              74,              1,       279,           0,          3,        153,           74,           1,           170,              16,              1,       260,          31,          1,      310,         62,         2,          0,            0,          22,        17,           0,          6
