  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2,4,1,0,11,0,1,1,1,0,2,1,0,10,2,1,7,1,6,0,0,3,1,0,2
3,6,1,0,23,0,2,3,1,0,5,1,0,22,4,1,15,3,5,0,0,3,2,0,4
4,10,2,0,34,0,4,6,2,0,9,2,1,35,6,1,30,6,1,0,0,5,3,0,3
5,12,2,0,50,0,2,10,2,0,14,2,1,44,7,2,47,10,1,0,0,5,4,0,3
6,22,6,0,64,0,2,15,6,1,20,4,1,55,8,2,60,12,1,0,0,4,5,0,4
7,28,8,1,81,0,12,21,8,1,27,4,1,67,10,2,70,14,1,0,0,8,6,0,4
8,43,15,1,97,0,3,28,15,1,35,5,2,80,12,4,96,19,1,0,0,19,7,0,4
9,55,20,3,113,0,9,36,20,3,44,6,3,103,14,3,105,20,1,0,0,8,8,0,4
10,71,27,1,131,0,4,45,27,2,54,7,2,118,14,3,121,23,1,0,0,8,9,0,4
11,83,32,1,150,0,4,55,32,2,65,8,2,130,17,3,145,28,1,0,0,7,10,0,4
12,91,35,2,168,0,4,66,35,2,77,9,2,147,19,3,168,33,1,0,0,7,11,0,4
13,113,45,2,181,0,5,78,45,2,90,9,2,177,23,6,179,35,1,0,0,8,12,0,4
14,121,48,2,200,0,6,91,48,3,104,10,2,186,25,4,196,38,1,0,0,9,13,0,4
15,137,55,3,220,0,6,105,55,3,119,11,3,221,27,5,218,43,2,0,0,11,14,0,5
16,143,57,3,237,0,11,120,57,3,135,13,3,236,26,15,263,53,2,0,0,11,15,0,5
17,169,69,3,260,0,5,136,69,4,152,11,3,238,32,9,279,55,2,0,0,10,16,0,5
18,187,77,3,281,0,6,153,77,5,170,11,4,242,30,4,309,61,2,0,0,23,17,0,5
19,193,79,3,300,0,6,171,79,5,189,11,4,273,35,5,328,65,2,0,0,14,18,0,5
20,232,98,4,323,0,6,190,98,5,209,16,4,293,36,5,362,72,2,0,0,13,19,0,5
21,270,116,4,342,0,6,210,116,6,230,16,5,298,37,5,376,74,2,0,0,9,20,0,53
22,312,136,5,364,0,8,231,136,7,252,18,6,322,41,6,388,76,3,0,0,16,21,0,6
23,340,149,6,392,0,9,253,149,8,275,21,6,355,41,6,413,81,7,0,0,19,22,0,7
24,368,162,7,413,0,8,276,162,8,299,22,6,367,44,7,445,88,3,0,0,10,23,0,6
25,400,177,6,413,0,8,300,177,8,324,21,7,414,48,7,469,93,3,0,0,10,24,0,6
26,426,189,7,438,0,9,325,189,9,350,23,7,439,49,8,506,101,3,0,0,9,25,0,6
27,474,212,8,463,0,8,351,212,9,377,24,7,459,50,7,515,102,3,0,0,9,26,0,6
28,486,217,8,489,0,9,378,217,10,405,23,8,478,52,7,542,107,3,0,0,401,27,0,9
29,500,223,9,505,0,10,406,223,11,434,25,9,500,62,8,555,109,4,0,0,10,28,0,7
30,514,229,8,528,0,10,435,229,12,464,27,9,517,61,9,584,115,3,0,0,11,29,0,6
31,540,241,9,551,0,10,465,241,13,495,27,10,555,59,8,610,121,3,0,0,10,30,0,7
32,564,252,9,572,0,11,496,252,13,527,26,10,619,62,10,655,130,5,0,0,15,31,0,7
33,590,264,9,602,0,18,528,264,15,560,26,12,559,68,9,682,136,4,0,0,14,32,0,7
34,646,291,10,621,0,11,561,291,15,594,31,12,606,62,9,722,143,4,0,0,12,33,0,7
35,662,298,10,656,0,11,595,298,16,629,32,13,637,68,10,748,148,4,0,0,12,34,0,7
36,718,325,12,677,0,12,630,325,17,665,31,13,649,77,11,773,153,4,0,0,12,35,0,7
