 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
 0,             0,               0,              1,         1,           0,          1,          0,            0,           0,             0,               0,              0,         1,           0,          0,        0,          0,         0,          0,            0,           0,         0,           0,          0
 1,             1,               0,              0,         1,           0,          0,          0,            0,           0,             0,               0,              0,         1,           0,          1,        0,          0,         0,          0,            0,           5,         0,           0,          0
 2,             3,               0,              0,        10,           0,          1,          1,            0,           0,             2,               0,              0,        11,           2,          1,       10,          2,         1,          0,            0,           6,         1,           0,          2
 3,             5,               0,              0,        22,           0,          6,          3,            0,           1,             5,               0,              0,        13,           2,          2,       18,          4,         2,          0,            0,           9,         2,           0,          3
 4,             9,               1,              1,        33,           0,          5,          6,            1,           1,             9,               1,              1,        24,           4,          2,       33,          7,         3,          0,            0,          25,         3,           0,          3
 5,            18,               5,              1,        51,           0,          5,         10,            5,           1,            14,               3,              1,        45,           7,          2,       43,          9,         3,          0,            0,          10,         4,           0,          4
 6,            28,               9,              2,        67,           0,          4,         15,            9,           1,            20,               5,              2,        61,           9,          3,       64,         13,         3,          0,            0,          10,         5,           0,          2
 7,            32,              10,              1,        79,           0,          5,         21,           10,           1,            27,               6,              1,        77,          12,          3,       78,         16,         3,          0,            0,          11,         6,           0,          3
 8,            36,              11,              1,        92,           0,          5,         28,           11,           2,            35,               7,              3,        92,          14,          4,      102,         21,         7,          0,            0,          11,         7,           0,          4
 9,            42,              13,              2,       114,           0,          9,         36,           13,           3,            44,               7,              3,       103,          13,          4,      121,         25,         5,          0,            0,          15,         8,           0,          3
10,            44,              13,              2,       132,           0,         10,         45,           13,           4,            54,               7,              2,       137,          16,          5,      142,         29,         6,          0,            0,          15,         9,           0,          3
